 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_________________________________________________________ (procver)_____________________     "3.1.0"
 Date_of_run_____________________________________________________________ (date)________________________     "19/02/2025 UTC"
 Time_of_run_____________________________________________________________ (time)________________________     "15:07"
 User____________________________________________________________________ (username)____________________     "runner"
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "Generic large tokamak"
 PROCESS_git_tag_________________________________________________________ (tagno)_______________________     ""
 PROCESS_git_branch______________________________________________________ (branch_name)_________________     ""
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/large_tokamak.IN.DAT"
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 # Numerics #
 VMCON_error_flag________________________________________________________ (ifail)_______________________              1    
 # PROCESS found a feasible solution #
 Number_of_iteration_variables___________________________________________ (nvar)________________________             44    
 Number_of_constraints_(total)___________________________________________ (neqns+nineqns)_______________             26    
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________              1    
 Objective_function_name_________________________________________________ (objf_name)___________________     "major radius"                          
 Normalised_objective_function___________________________________________ (norm_objf)___________________      1.6000000000000001E+00 OP 
 Square_root_of_the_sum_of_squares_of_the_constraint_residuals___________ (sqsumsq)_____________________      1.1401267063824803E-06 OP 
 VMCON_convergence_parameter_____________________________________________ (convergence_parameter)_______      1.6660250403013590E-13 OP 
 Number_of_VMCON_iterations______________________________________________ (nviter)______________________              8 OP 
 bt______________________________________________________________________ (itvar001)____________________      5.1810105608554968E+00    
 bt_(final_value/initial_value)__________________________________________ (xcm001)______________________      9.0894922120271870E-01    
 bt_(range_normalised)___________________________________________________ (nitvar001)___________________      1.7242449352635869E-01    
 rmajor__________________________________________________________________ (itvar002)____________________      8.0000000000000000E+00    
 rmajor_(final_value/initial_value)______________________________________ (xcm002)______________________      1.0000000000000000E+00    
 rmajor_(range_normalised)_______________________________________________ (nitvar002)___________________      0.0000000000000000E+00    
 te______________________________________________________________________ (itvar003)____________________      1.2553376495615261E+01    
 te_(final_value/initial_value)__________________________________________ (xcm003)______________________      1.0461147079679385E+00    
 te_(range_normalised)___________________________________________________ (nitvar003)___________________      7.4585044585825239E-02    
 beta____________________________________________________________________ (itvar004)____________________      3.5261171638029519E-02    
 beta_(final_value/initial_value)________________________________________ (xcm004)______________________      1.1753723879343174E+00    
 beta_(range_normalised)_________________________________________________ (nitvar004)___________________      3.4295467105134647E-02    
 dene____________________________________________________________________ (itvar005)____________________      8.0680869850877592E+19    
 dene_(final_value/initial_value)________________________________________ (xcm005)______________________      1.0757449313450345E+00    
 dene_(range_normalised)_________________________________________________ (nitvar005)___________________      6.1919254949875095E-02    
 hfact___________________________________________________________________ (itvar006)____________________      1.1952224749745755E+00    
 hfact_(final_value/initial_value)_______________________________________ (xcm006)______________________      1.0865658863405230E+00    
 hfact_(range_normalised)________________________________________________ (nitvar006)___________________      9.9565679543143215E-01    
 dr_tf_inboard___________________________________________________________ (itvar007)____________________      1.2000000000000000E+00    
 dr_tf_inboard_(final_value/initial_value)_______________________________ (xcm007)______________________      1.0000000000000000E+00    
 dr_tf_inboard_(range_normalised)________________________________________ (nitvar007)___________________      1.1627906976744184E-01    
 fwalld__________________________________________________________________ (itvar008)____________________      5.0843969275909551E-01    
 fwalld_(final_value/initial_value)______________________________________ (xcm008)______________________      5.0843969275909551E-01    
 fwalld_(range_normalised)_______________________________________________ (nitvar008)___________________      5.0794764039949503E-01    
 dr_cs___________________________________________________________________ (itvar009)____________________      5.6856286039625104E-01    
 dr_cs_(final_value/initial_value)_______________________________________ (xcm009)______________________      1.1371257207925021E+00    
 dr_cs_(range_normalised)________________________________________________ (nitvar009)___________________      2.7686892824355776E-02    
 q95_____________________________________________________________________ (itvar010)____________________      3.5187554247880488E+00    
 q95_(final_value/initial_value)_________________________________________ (xcm010)______________________      1.0053586927965854E+00    
 q95_(range_normalised)__________________________________________________ (nitvar010)___________________      1.1037349463575513E-02    
 ft_burn_________________________________________________________________ (itvar011)____________________      9.9965506170336171E-01    
 ft_burn_(final_value/initial_value)_____________________________________ (xcm011)______________________      9.9965506170336171E-01    
 ft_burn_(range_normalised)______________________________________________ (nitvar011)___________________      9.9965471641978154E-01    
 fpnetel_________________________________________________________________ (itvar012)____________________      9.9947234696647291E-01    
 fpnetel_(final_value/initial_value)_____________________________________ (xcm012)______________________      9.9947234696647291E-01    
 fpnetel_(range_normalised)______________________________________________ (nitvar012)___________________      9.9947181878525815E-01    
 ffuspow_________________________________________________________________ (itvar013)____________________      5.4185158425182167E-01    
 ffuspow_(final_value/initial_value)_____________________________________ (xcm013)______________________      5.4185158425182167E-01    
 ffuspow_(range_normalised)______________________________________________ (nitvar013)___________________      5.4139297722905078E-01    
 dr_bore_________________________________________________________________ (itvar014)____________________      2.0266134453602334E+00    
 dr_bore_(final_value/initial_value)_____________________________________ (xcm014)______________________      1.0133067226801167E+00    
 dr_bore_(range_normalised)______________________________________________ (nitvar014)___________________      1.9460741872325588E-01    
 fpeakb__________________________________________________________________ (itvar015)____________________      8.5130975340994897E-01    
 fpeakb_(final_value/initial_value)______________________________________ (xcm015)______________________      8.5130975340994897E-01    
 fpeakb_(range_normalised)_______________________________________________ (nitvar015)___________________      8.5116091432427321E-01    
 fbeta_max_______________________________________________________________ (itvar016)____________________      4.4455192731463627E-01    
 fbeta_max_(final_value/initial_value)___________________________________ (xcm016)______________________      8.8910385462927255E-01    
 fbeta_max_(range_normalised)____________________________________________ (nitvar016)___________________      4.4399592323787412E-01    
 coheof__________________________________________________________________ (itvar017)____________________      2.0455761180060532E+07    
 coheof_(final_value/initial_value)______________________________________ (xcm017)______________________      1.3637174120040354E+00    
 coheof_(range_normalised)_______________________________________________ (nitvar017)___________________      2.0376137317377910E-01    
 fjohc___________________________________________________________________ (itvar018)____________________      5.5055432421352835E-01    
 fjohc_(final_value/initial_value)_______________________________________ (xcm018)______________________      9.1759054035588039E-01    
 fjohc_(range_normalised)________________________________________________ (nitvar018)___________________      5.4601446890255378E-01    
 fjohc0__________________________________________________________________ (itvar019)____________________      5.4472092742998424E-01    
 fjohc0_(final_value/initial_value)______________________________________ (xcm019)______________________      9.0786821238330695E-01    
 fjohc0_(range_normalised)_______________________________________________ (nitvar019)___________________      5.4426519262260686E-01    
 fcohbop_________________________________________________________________ (itvar020)____________________      9.4747165824300861E-01    
 fcohbop_(final_value/initial_value)_____________________________________ (xcm020)______________________      1.0527462869366764E+00    
 fcohbop_(range_normalised)______________________________________________ (nitvar020)___________________      9.4741907732032904E-01    
 fvsbrnni________________________________________________________________ (itvar021)____________________      4.3449762385834029E-01    
 fvsbrnni_(final_value/initial_value)____________________________________ (xcm021)______________________      1.0862440596458507E+00    
 fvsbrnni_(range_normalised)_____________________________________________ (nitvar021)___________________      4.3393155541375406E-01    
 fpinj___________________________________________________________________ (itvar022)____________________      3.9590286429587201E-01    
 fpinj_(final_value/initial_value)_______________________________________ (xcm022)______________________      3.9590286429587201E-01    
 fpinj_(range_normalised)________________________________________________ (nitvar022)___________________      3.9529816245833033E-01    
 fstrcase________________________________________________________________ (itvar023)____________________      9.9948647964000847E-01    
 fstrcase_(final_value/initial_value)____________________________________ (xcm023)______________________      9.9948647964000847E-01    
 fstrcase_(range_normalised)_____________________________________________ (nitvar023)___________________      9.9948596560561409E-01    
 fstrcond________________________________________________________________ (itvar024)____________________      8.4997628773914491E-01    
 fstrcond_(final_value/initial_value)____________________________________ (xcm024)______________________      8.4997628773914491E-01    
 fstrcond_(range_normalised)_____________________________________________ (nitvar024)___________________      8.4982611385299789E-01    
 fiooic__________________________________________________________________ (itvar025)____________________      7.2422655310770168E-01    
 fiooic_(final_value/initial_value)______________________________________ (xcm025)______________________      1.1141946970887715E+00    
 fiooic_(range_normalised)_______________________________________________ (nitvar025)___________________      7.2395050361131297E-01    
 fvdump__________________________________________________________________ (itvar026)____________________      9.4524055826729747E-01    
 fvdump_(final_value/initial_value)______________________________________ (xcm026)______________________      9.4524055826729747E-01    
 fvdump_(range_normalised)_______________________________________________ (nitvar026)___________________      9.4518574401130873E-01    
 fjprot__________________________________________________________________ (itvar027)____________________      9.9990938698618625E-01    
 fjprot_(final_value/initial_value)______________________________________ (xcm027)______________________      9.9990938698618625E-01    
 fjprot_(range_normalised)_______________________________________________ (nitvar027)___________________      9.9990929628246872E-01    
 ftmargtf________________________________________________________________ (itvar028)____________________      9.9569185450795328E-01    
 ftmargtf_(final_value/initial_value)____________________________________ (xcm028)______________________      9.9569185450795328E-01    
 ftmargtf_(range_normalised)_____________________________________________ (nitvar028)___________________      9.9568754205000332E-01    
 tdmptf__________________________________________________________________ (itvar029)____________________      1.8089383696553487E+01    
 tdmptf_(final_value/initial_value)______________________________________ (xcm029)______________________      7.2357534786213951E-01    
 tdmptf_(range_normalised)_______________________________________________ (nitvar029)___________________      1.8007391087641128E-01    
 thkcas__________________________________________________________________ (itvar030)____________________      2.5611274854609628E-01    
 thkcas_(final_value/initial_value)______________________________________ (xcm030)______________________      5.1222549709219256E-01    
 thkcas_(range_normalised)_______________________________________________ (nitvar030)___________________      2.1696078794325926E-01    
 thwcndut________________________________________________________________ (itvar031)____________________      8.0003304752118542E-03    
 thwcndut_(final_value/initial_value)____________________________________ (xcm031)______________________      1.0000413094014817E+00    
 thwcndut_(range_normalised)_____________________________________________ (nitvar031)___________________      3.5921218679761848E-06    
